Unnamed: 0,LICENSE NUMBER,PROVIDER NAME,PROVIDER SERVICE TYPE,STREET ADDRESS,CITY,STATE,ZIP,COUNTY,ECC,CCRR,SCHOOL DISTRICT OPERATED PROGRAM,SCHOOL DISTRICT,QUALITY RATING,QUALITY RATING EFFECTIVE DATE,QUALITY RATING EXPIRATION DATE,CCCAP FISCAL AGREEMENT STATUS,CCCAP AUTHORIZATION STATUS,TOTAL LICENSED CAPACITY,LICENSED HOME CAPACITY,LICENSED CENTER INFANT CAPACITY,LICENSED CENTER TODDLER CAPACITY,LICENSED CENTER PRESCHOOL CAPACITY,LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY,LICENSED SCHOOL AGE CAPACITY,LICENSED NYO CAPACITY,LICENSED RESIDENT CAMP CAPACITY,GOVERNING BODY
2497,1513103,ASSUMPTION CATHOLIC,Preschool Program,2361 E 78th AVE,Denver,CO,80229,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Mapleton Public Schools,2.0,2025-04-29,2028-04-29,False,False,15.0,,,,0.0,15.0,,,,Assumption Catholic School
2498,46162,JUNIOR ACADEMY SMALL WONDERS,Child Care Center,4750 El Camino DR,Colorado Springs,CO,80918,El Paso,Alliance for Kids,Alliance for Kids,False,,3.0,2022-11-30,2025-11-30,True,True,103.0,0.0,0.0,18.0,0.0,85.0,0.0,0.0,0.0,
2499,92350,Nancy Namuth,Large Family Child Care Home,,Fort Collins,CO,80526,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,Poudre School District,1.0,,,False,False,12.0,,,,0.0,12.0,,,,
2500,53465,Kimberley Pardikes,Family Child Care Home,,Parker,CO,80138,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,Douglas County School District,2.0,2024-01-26,2027-01-26,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2501,1516291,SHANNON AVILA,Large Family Child Care Home,,Brighton,CO,80602,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,ADAMS 12,5.0,2023-06-30,2026-06-30,False,False,12.0,,,,0.0,12.0,,,,
2502,1554813,Tiffany Wilkins,Large Family Child Care Home,,Pagosa Springs,CO,81147,Archuleta,Early Childhood Council of Archuleta County,ECC La Plata Co,False,District 50 JT (Pagosa Springs),2.0,2023-06-09,2026-06-09,True,True,12.0,,,,0.0,12.0,,,,
2503,1504361,Angela Elcock,Family Child Care Home,,Longmont,CO,80501,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,ST Vrain Valley,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2504,64900,Cynthia Cline,3 under 18 Months Family Child Care Home,,Centennial,CO,80121,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,Littleton Public Schools,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2505,87384,Jacqueline Copley,Large Family Child Care Home,,Longmont,CO,80504,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,St Vrain,2.0,2024-11-25,2027-11-25,True,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
2506,84533,Kimberly Sanger,Family Child Care Home,,Erie,CO,80516,Weld,Weld County’s Early Childhood Council,Promises for Children,False,School District RE1J (St Vrain),1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
