county_fips,county_name,year,age_group,population,licensed_capacity,participation_rate,need_estimate,gap,gap_pct,severity,color_code,facility_count,data_source,last_updated
8037,Eagle,2029,0-5,3410,1247,0.65,2216,969,0.43727436823104693,Critical,#d32f2f,54,CO Open Data + CO Demography Office,2025-11-07
8037,Eagle,2029,3-5,1706,672,0.7,1194,522,0.4371859296482412,Critical,#d32f2f,54,CO Open Data + CO Demography Office,2025-11-07
8041,El Paso,2025,0-2,27608,3881,0.6,16565,12684,0.7657108361002113,Critical,#d32f2f,555,CO Open Data + CO Demography Office,2025-11-07
8041,El Paso,2025,0-5,55217,9559,0.65,35891,26332,0.733665821515143,Critical,#d32f2f,555,CO Open Data + CO Demography Office,2025-11-07
8041,El Paso,2025,3-5,27609,5678,0.7,19326,13648,0.7061989030321846,Critical,#d32f2f,555,CO Open Data + CO Demography Office,2025-11-07
8041,El Paso,2029,0-2,28589,3881,0.6,17153,13272,0.7737422025301697,Critical,#d32f2f,555,CO Open Data + CO Demography Office,2025-11-07
8041,El Paso,2029,0-5,57179,9559,0.65,37166,27607,0.7428025614809234,Critical,#d32f2f,555,CO Open Data + CO Demography Office,2025-11-07
8041,El Paso,2029,3-5,28590,5678,0.7,20013,14335,0.7162844151301654,Critical,#d32f2f,555,CO Open Data + CO Demography Office,2025-11-07
8039,Elbert,2025,0-2,675,53,0.6,405,352,0.8691358024691358,Critical,#d32f2f,19,CO Open Data + CO Demography Office,2025-11-07
8039,Elbert,2025,0-5,1350,253,0.65,878,625,0.7118451025056948,Critical,#d32f2f,19,CO Open Data + CO Demography Office,2025-11-07
8039,Elbert,2025,3-5,675,200,0.7,472,272,0.576271186440678,Critical,#d32f2f,19,CO Open Data + CO Demography Office,2025-11-07
8039,Elbert,2029,0-2,699,53,0.6,419,366,0.8735083532219571,Critical,#d32f2f,19,CO Open Data + CO Demography Office,2025-11-07
8039,Elbert,2029,0-5,1398,253,0.65,909,656,0.7216721672167217,Critical,#d32f2f,19,CO Open Data + CO Demography Office,2025-11-07
8039,Elbert,2029,3-5,699,200,0.7,489,289,0.591002044989775,Critical,#d32f2f,19,CO Open Data + CO Demography Office,2025-11-07
8043,Fremont,2025,0-2,1208,104,0.6,725,621,0.856551724137931,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8043,Fremont,2025,0-5,2417,328,0.65,1571,1243,0.7912157861234882,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8043,Fremont,2025,3-5,1209,224,0.7,846,622,0.735224586288416,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8043,Fremont,2029,0-2,1251,104,0.6,751,647,0.8615179760319573,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8043,Fremont,2029,0-5,2503,328,0.65,1627,1299,0.7984019668100799,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8043,Fremont,2029,3-5,1252,224,0.7,876,652,0.7442922374429224,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8045,Garfield,2025,0-2,2385,399,0.6,1431,1032,0.7211740041928721,Critical,#d32f2f,63,CO Open Data + CO Demography Office,2025-11-07
8045,Garfield,2025,0-5,4770,710,0.65,3100,2390,0.7709677419354839,Critical,#d32f2f,63,CO Open Data + CO Demography Office,2025-11-07
8045,Garfield,2025,3-5,2385,311,0.7,1670,1359,0.8137724550898203,Critical,#d32f2f,63,CO Open Data + CO Demography Office,2025-11-07
8045,Garfield,2029,0-2,2470,399,0.6,1482,1083,0.7307692307692307,Critical,#d32f2f,63,CO Open Data + CO Demography Office,2025-11-07
8045,Garfield,2029,0-5,4940,710,0.65,3211,2501,0.7788850825288072,Critical,#d32f2f,63,CO Open Data + CO Demography Office,2025-11-07
8045,Garfield,2029,3-5,2470,311,0.7,1729,1418,0.8201272411798728,Critical,#d32f2f,63,CO Open Data + CO Demography Office,2025-11-07
8047,Gilpin,2025,0-2,121,0,0.6,73,73,1.0,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8047,Gilpin,2025,0-5,242,80,0.65,157,77,0.49044585987261147,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8047,Gilpin,2025,3-5,121,80,0.7,85,5,0.058823529411764705,Low,#9ccc65,3,CO Open Data + CO Demography Office,2025-11-07
8047,Gilpin,2029,0-2,125,0,0.6,75,75,1.0,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8047,Gilpin,2029,0-5,250,80,0.65,162,82,0.5061728395061729,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8047,Gilpin,2029,3-5,125,80,0.7,88,8,0.09090909090909091,Low,#9ccc65,3,CO Open Data + CO Demography Office,2025-11-07
8049,Grand,2025,0-2,391,87,0.6,235,148,0.6297872340425532,Critical,#d32f2f,22,CO Open Data + CO Demography Office,2025-11-07
8049,Grand,2025,0-5,782,162,0.65,508,346,0.6811023622047244,Critical,#d32f2f,22,CO Open Data + CO Demography Office,2025-11-07
8049,Grand,2025,3-5,391,75,0.7,274,199,0.7262773722627737,Critical,#d32f2f,22,CO Open Data + CO Demography Office,2025-11-07
8049,Grand,2029,0-2,405,87,0.6,243,156,0.6419753086419753,Critical,#d32f2f,22,CO Open Data + CO Demography Office,2025-11-07
8049,Grand,2029,0-5,810,162,0.65,526,364,0.6920152091254753,Critical,#d32f2f,22,CO Open Data + CO Demography Office,2025-11-07
